Job title,Company,Location,Job Description,Date posted ,Salary,qualification
Data Science Professional,AKN It Services3.223 Reviews,Chennai,"Responsibilities:
Ability to understand a problem statement and implement analytical solutions techniques independently with independently / proactively / thought leadership.
Work with stakeholders throughout the organisation to identify opportunities for leveraging company/ client data to drive business solutions.
Fast learner: ability to learn and pick up a new language/tool/ platform quickly.
Conceptualise, design, and deliver high-quality solutions and insightful analysis.
Conduct research and prototyping innovations; data and requirements gathering; solution scoping and architecture; consulting clients and client facing teams on advanced statistical and machine learning problems.
Collaborate and Coordinate with different functional teams(engineering and product development) to implement models and monitor outcomes.
Desired Profile :
Ability to deliver AIML based solutions around a host of domains and problems, with some of them being: Customer Segmentation Targeting, Propensity Modeling, Churn Modeling,
Ability to create efficient solutions to complex problems. Strong skills in data-structures and Machine Learning algorithms.
Experience of working on end-to end data science pipeline: problem scoping, data gathering, EDA, modelling, insights, visualizations, monitoring and maintenance.
Problem-solving: Ability to break the problem into small parts and applying relevant techniques to drive required outcomes.
Intermediate to advanced knowledge of machine learning, probability theory, statistics, and algorithms. You will be required to discuss and use various algorithms and approaches on a daily basis.
We use regression, Bayesian methods, tree-based learners, SVM, RF, XGBOOST, time series modeling,",None,Not Disclosed,0 - 1 years
Lead Data Science Engineer,Scaledge3.45 Reviews,Bangalore/Bengaluru,"Lead Data Science Engineer

Location: Bangalore
Experience: 4+ Years
Type: Hybrid/In-office
Education level: Bachelors or Master in Computer Science, Engineering, or related.
Good to have Skills:
• Exposure to Machine learning
• Open-source contributions
Must Skills:
• Data Analytics, Data Science, Python, Agile SCRUM
Primary Skills:
• Strong experience with statistical analysis.
• Proficient in programming languages such as Python and R.
• Experience with big data technologies such as Hadoop, Spark, ELK, and NoSQL databases.
• Excellent communication and presentation skills.
• Ability to work independently and in a team environment.
• Experience with project management tools and methodologies (e.g., Agile, Scrum).
• Knowledge of data visualization tools and techniques (e.g., Tableau, PowerBI, ELK).",None,Not Disclosed,4 - 8 years
Senior Manager - Data Science,PwC3.74665 Reviews,Bangalore/Bengaluru,"Education : Advanced Degree in a quantitative discipline such as Computer Science, Engineering, Econometrics, Statistics or Information Sciences such as business analytics or informatics
Required Skills: Successful candidates will have demonstrated the following skills and characteristics:
Must have
Experience in managing, building and deploying ML models in cloud environments and ability to converse with client teams on cloud technologies.
Solid knowledge and experience of supervised, unsupervised machine learning algorithms such as classifiers. For e.g : classifiers, cluster analysis, dimension reduction, regression etc.
Good knowledge of statistics For e.g : statistical tests & distributions
Experience in Data analysis For e.g : data cleansing, standardization and data preparation for the machine learning use cases
Experience in machine learning frameworks and tools (For e.g. scikit-learn, mlr, caret, H2O, TensorFlow,, Pytorch, MLlib)
Advanced level programming in SQL and Python/Pyspark to guide teams
Expertise with visualization tools For e.g : Tableau, PowerBI, AWS QuickSight etc.
Nice to have:
Working knowledge of containerization ( e.g. AWS EKS, Kubernetes), Dockers and data pipeline orchestration (e.g. Airflow)
Experience with model explainability and interpretability techniques
Multi-task and manage multiple deadlines. Responsible for incorporating client/user feedback into the Product
Ability to think through complex user scenarios and design simple yet effective user interactions
Good Communication and presentation skills
Leadership :
Help Analytics Insights Practice make a bigger impact in Firm s overall positioning in the market
Work closely with Analytics Insights Practice leadership in leading the team and develop capabilities
Sales :
Work closely with Practice leadership and clients to build proposals, RFP and accounting for budgetary plans.
Project Delivery and Management :
Manage communication and project delivery between India and US teams
Manage client proposals, presentations, and act as subject matter expert on analytics discussions
Structure the approach and deliverables for multiple analytics engagements simultaneously Manage team members proactively
Help junior members develop the analytics path to align with overall project objective
And mentor juniors and team members on analytics and project delivery best practices
Help assess the impact of work, and conduct so-what analysis.
Develop storylines and make presentations
Firm Building & Intellectual Capital Development :
Contribute to research, white papers, blog, and other IC development activities
Subject Matter Expert :
Keep abreast of market developments, identify growth opportunities
Help Partners/Directors across the firm in selling analytics projects by acting as a subject matter expert on business development initiative",None,Not Disclosed,4 - 7 years
Data Science Specialist,Accenture4.135483 Reviews,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Manage, architect, and analyze big data to build data driven business insights and high impact data models to generate significant business value. Create models and processes to collect, distill and interpret data with a view to aid better, more informed decision making. Examine and explore data from multiple disparate sources with the goal of discovering insights which in turn can provide competitive advantage for our stakeholders.

The role involves but not limited to the following:
Create insights from predictive statistical modeling, mathematical knowledge, tools, and techniques to solve complex problems and deliver value
Implement new predictive and prescriptive solutions based upon business needs and requirements
Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution
Deliver large-scale programs that integrate processes with technology to help clients achieve high performance
Responsible for implementation of complete big data solutions including data acquisition, storage, transformation, and analysis
Manage a specific area of a project or entire project to solve analytics problems for clients
Individual contributor and/or oversees a small work effort
Work with minimal supervision
Key Skills
Must Have Knowledge of statistical techniques and machine learning algorithms
Artificial Intelligence
Hands-on experience of analysis tools like R, Python
Understanding of Text analysis- Natural Language processing (NLP)
Knowledge on Google Cloud Platform
Advanced Excel, PowerPoint skills
Advanced communication (written and oral) and strong interpersonal skills
Ability to work cross-culturally
Good to have Deep Learning
Human Resources experience
VBA and visualization tools like Qliksense, Qlikview will be an added advantage",None,Not Disclosed,2 - 4 years
Data Science Manager,Neemtree Internet2.53 Reviews,Bangalore/Bengaluru,"Leading a team of data scientists and machine learning engineers to develop, implement, and test scalable solutions for the fintech/lending domain.
Mentor peers and junior members and handle multiple projects at the same time.
Manage the continuous improvement of data science and machine learning led initiatives by following industry best practices and staying up-to-date with and extending the state-of-the-art in data science research.
Collaborate with business stakeholders to identify and solve business problems using AL/ML/Data Analytics with clearly defined metrics to measure success.
Design, develop and implement real-time, highly complex advance machine learning models to solve credit business problems (demand generation, marketing, fraud, credit, account management and collections)
Own research and prototyping of solutions; data and requirements gathering; solution scoping and architecture; development, deployment, and maintenance of solutions.
Provide timelines and own end to end delivery of projects.
Analyse data to identify trends, perform root cause analysis and test hypotheses.
Communicate complex concepts and the results of the models and analyses to technical and non-technical audience
Prioritize to manage ad-hoc requests in parallel with ongoing projects.
The role is 50% technical (involves coding and implementation of solutions and models) and 50% delivery management of projects including external stakeholder management.
Promote and support company policies, procedures, mission, values, and standards of ethics and integrity

Required skills & Qualifications:
A highly talented technical leader with 5 - 10 years of hands-on experience in building AI/ML and data analytics applications from exploration to production
2+ years of experience in a responsible senior or team lead role managing a team of data scientists and engineers who develop, deploy, and maintain robust machine learning models
Experience in leading cross-functional, highly complex Data Science projects
Strong knowledge of Python, databases (SQL and NoSQL) , advanced analytics/statistical techniques such as general linear model, ANOVA, decision trees, linear regression, Bayesian, tree-based learners, SVM, RF, XGBOOST, etc. Hands-on coding experience will be required to code regularly.
Experience building scalable solutions, feedback loops for model evolution, and end to end automation of model generation and deployment
Basic knowledge of software architecture design, docker, microservices, cloud computing and AWS services
3+ years of relevant experience within credit, risk, collections management, ideally at a high-growth technology and/or financial services company.(Application Scorecard, Behaviour Scorecard, Collection Score Card, Loan Pricing, Loss Forecasting, Cross-Sell Model)
Analytically oriented with the ability to grasp complex risk management strategies, processes, models and draw insights / identify areas of opportunity
Strong communication skills - ability to clearly and succinctly communicate technical subject matter to other team members and Senior Management team
Strong interpersonal skills - collaborate with people across functions and develop a strong relationship
B.Tech/M.Tech/MCA (IT/Computer Science) from top tier universities.
Experience Range:
5 - 10 years
Educational Qualifications:
B.Tech/B.E,orM.Tech
Skills Required:
Python,Machine Learning,statistics,AWS,SQL,",None,Not Disclosed,5 - 10 years
Data Engineer/data Science Consultant,Career Infosystem,Bangalore/Bengaluru,"Data Engineer/Data Science Consultant - Business Intelligence Tools
Job Responsibilities :

- Data Wrangling

- Data Mining

- Develop analytics Pipeline and Data Science Models

- Interface with external Data Science APIs

- Setup production ready

Expertise/Skills :

- Data Mining - Expert level

- Python and SQL - Expert level

- Azure services - Competent level

- Machine Learning, Statistics- Competent level
Good to Have Skills :

- Data science experience in the oil & gas industry will be an advantage

- Experience in any other cloud platform

- Experience in Visualization tools like Tableau / Power BI
Must-Have Requirements :
- Good in Business Intelligence Tools, ETL tools, Data Integration, Data profiling, Data Cleansing.

- Strong in data transformations and data management.

- Strong experience in employing Python and SQL for data cleaning, data visualization.

- Strong experience in Python and SQL

- Good experience in Machine learning techniques.

- Strong experience setting up Production ready system.",None,Not Disclosed,4 - 9 years
Data Modeller- Data Science/ ML,TRH Consultancy Services,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Roles and Responsibilities
Shoul have experience in handling IT Data (e.g. Performance engineering; Troubleshooting) plus AIOPS platform + Data science + ML algorithms - Study and transform data science prototypes

- Design machine learning systems

- Research and implement appropriate ML algorithms and tools

- Develop machine learning applications according to requirements

- Select appropriate datasets and data representation methods

- Run machine learning tests and experiments

- Perform statistical analysis and fine-tuning using test results

- Train and retrain systems when necessary

- Extend existing ML libraries and frameworks

Skill Set :

- Proven experience as a Machine Learning Engineer or similar role

- Understanding of data structures, data modeling and software architecture

- Deep knowledge of math, probability, statistics and algorithms

- Ability to write robust code in Python, Java and R",None,Not Disclosed,8 - 13 years
Data Modeller- Data Science/ ML,TRH Consultancy Services,"Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Shoul have experience in handling IT Data (e.g. Performance engineering; Troubleshooting) plus AIOPS platform + Data science + ML algorithms - Study and transform data science prototypes

- Design machine learning systems

- Research and implement appropriate ML algorithms and tools

- Develop machine learning applications according to requirements

- Select appropriate datasets and data representation methods

- Run machine learning tests and experiments

- Perform statistical analysis and fine-tuning using test results

- Train and retrain systems when necessary

- Extend existing ML libraries and frameworks

Skill Set :

- Proven experience as a Machine Learning Engineer or similar role

- Understanding of data structures, data modeling and software architecture

- Deep knowledge of math, probability, statistics and algorithms

- Ability to write robust code in Python, Java and R",None,Not Disclosed,8 - 13 years
Data Science Lead / Manager / Architect,TRH Consultancy Services,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR","• Minimum 5+ years of hands on experience using statistical computer languages (Python / R) to manipulate data and draw insights from large data sets
• Expertise in Delivering End to End Analytical Solutions Covering Multiple Technologies & Tools to Multiple Business Problems
• Proven Track in Atleast4+Domains with Multiple Analytical Application Objectives
• Ability to identify Opportunities and Provide Blue Print for Enterprise Analytics connecting the Overall Client Organization
• Ability to Co-ordinate Multiple Teams with Analytical or Non–Analytical Objectives
• Showcase Analytical Thought Leadership at opportune moments as when required
• Motivate Team members to their best performance
• Excellent Presentation Skills at client CXO’s levels to connect Analytical strategies intune with their Mission and Vision objectives
• Showcasing Multiple Analytical Thought Process in Many Business Domains with either similar or different issues
• Experience in statistical modeling, machine learning, data mining, unstructured data analytics in corporate or academic research environments
• Stochastic models, Bayesian Modeling, Classification Models, Cluster Analysis, Neural Network, Non-parametric Methods, Multivariate Statistics.",None,Not Disclosed,5 - 10 years
Manager - Payments - Data Science,Bajaj Finserv Ltd.3.650 Reviews,Pune,"Business intelligence Collect and analyze data from various sources
Develop data models to identify patterns and trends
Design and develop reports to communicate insights to stakeholders
Collaborate with cross-functional teams to identify business problems and provide data-driven solutions
Continuously monitor and improve the performance of reports Stay up-to-date with the latest developments in data analytics
Deliver data insights and BI that are accurate and informative to enable the business to make data-driven content and learner experience decisions
Define Build & Track Hourly
Daily Monthly KPIs and work on the plan on how to improve the same
Manage ad-hoc data insights Trend analysis requests for Product & COE team
Conduct thorough quality assurance of the data feeds as well as the analytical capabilities
Demonstrate analytic curiosity and a desire to understand challenges to contribute to matrix team reviews and strategic discussions for insight discovery
Work with large complex data sets whilst solving challenging business problems independently and across teams
Requirements
Bachelors Degree in computer science, Math, Physics, Engineering, or related quantitative field with a minimum 2 years of experience as a Data Analyst in Fintech/Payment/Relevant Industry.
Minimum of 2-4 Years of experience Leading projects in Data Analytics/Business Intelligence Great communication skills (ability to convert data language to business language)
Experience with data visualization tools, such as Power BI, PlotLy, Matplotlib etc.
Strong bias for action & driving results in a high-performance environment.
Proficiency in using query languages such as SQL, Spark SQL is mandatory.",None,Not Disclosed,2 - 4 years
