Job title,Company,Location,Job Description,Date posted ,Salary,qualification
Data Science Professional,AKN It Services3.223 Reviews,Chennai,"Responsibilities:
Ability to understand a problem statement and implement analytical solutions techniques independently with independently / proactively / thought leadership.
Work with stakeholders throughout the organisation to identify opportunities for leveraging company/ client data to drive business solutions.
Fast learner: ability to learn and pick up a new language/tool/ platform quickly.
Conceptualise, design, and deliver high-quality solutions and insightful analysis.
Conduct research and prototyping innovations; data and requirements gathering; solution scoping and architecture; consulting clients and client facing teams on advanced statistical and machine learning problems.
Collaborate and Coordinate with different functional teams(engineering and product development) to implement models and monitor outcomes.
Desired Profile :
Ability to deliver AIML based solutions around a host of domains and problems, with some of them being: Customer Segmentation Targeting, Propensity Modeling, Churn Modeling,
Ability to create efficient solutions to complex problems. Strong skills in data-structures and Machine Learning algorithms.
Experience of working on end-to end data science pipeline: problem scoping, data gathering, EDA, modelling, insights, visualizations, monitoring and maintenance.
Problem-solving: Ability to break the problem into small parts and applying relevant techniques to drive required outcomes.
Intermediate to advanced knowledge of machine learning, probability theory, statistics, and algorithms. You will be required to discuss and use various algorithms and approaches on a daily basis.
We use regression, Bayesian methods, tree-based learners, SVM, RF, XGBOOST, time series modeling,",None,Not Disclosed,0 - 1 years
Lead Data Science Engineer,Scaledge3.35 Reviews,Bangalore/Bengaluru,"Lead Data Science Engineer

Location: Bangalore
Experience: 4+ Years
Type: Hybrid/In-office
Education level: Bachelors or Master in Computer Science, Engineering, or related.
Good to have Skills:
• Exposure to Machine learning
• Open-source contributions
Must Skills:
• Data Analytics, Data Science, Python, Agile SCRUM
Primary Skills:
• Strong experience with statistical analysis.
• Proficient in programming languages such as Python and R.
• Experience with big data technologies such as Hadoop, Spark, ELK, and NoSQL databases.
• Excellent communication and presentation skills.
• Ability to work independently and in a team environment.
• Experience with project management tools and methodologies (e.g., Agile, Scrum).
• Knowledge of data visualization tools and techniques (e.g., Tableau, PowerBI, ELK).",None,Not Disclosed,4 - 8 years
"Senior Manager I, Data Science",Walmart4.11618 Reviews,Bangalore/Bengaluru,"International Data Science team at Walmart Labs is focused on using the latest research in machine learning, statistics, and optimization to solve business problems in assortment, pricing, sourcing, customer, supply chain, and replenishment areas for multiple countries within Walmart s global operations.
We mine data, distill insights, extract information, build analytical models, deploy Machine Learning algorithms, and use latest algorithms and technology to empower business decision-making. We work with engineers to build reference architectures and machine learning pipelines in a big data ecosystem to productize our solutions.
Advanced analytical algorithms driven by our team will help Walmart to optimize business operations, business practices and change the way our customers shop.
The data science community at Walmart is active in most of the Hack events, utilizing the petabytes of data at our disposal, to build some of the coolest ideas. All the work we do at Walmart will eventually benefit our operations our associates, helping Customers Save Money to Live Better.
What youll do:
A Senior Manager I - Data Scientist is responsible for managing a team of Data Science/ML experts.
You will have the opportunity to work with a high caliber team from a variety of disciplines to build new data science solutions and radically change our business. Data Scientists in the international technology team work to develop and deploy advanced algorithms at scale.
You will support and enable the entire project lifecycle including problem discovery with business clients, algorithmic design, coding, validation, deployment, testing, and monitoring.
Data Scientists adhere to agile way of workings through rapid prototyping, iterative development, and incremental deployment of capabilities.
What youll bring:
An individual must be able to successfully perform the essential functions of this position
Analyze the business problem with a customer-centric mindset within ones discipline and question assumptions to help the business identify the root cause. Identify and recommend approach to resolve the business problem to create effective technology focused solutions.
Collaborate with Product, stakeholders, engineering in creating and prioritize the roadmap.
Mentoring and motivating a team of high performing data scientists.
Set relevant deliverables based on the established success criteria and define key metrics to measure progress and effectiveness of the solution. Quantify business impact.
Analyze large data sets to develop multiple custom machine learning models to drive innovative business solutions.
Derive actionable insights from the output of ML models.
Collaborate with cross-domain and cross-job family teams (Product + Engineering + Business) for successful deployment of the DS solution.
Communicate the results with the stakeholder concisely
Lead agile data science sprint projects
Research new techniques and best practices within the industry
Provide supervision, coaching and development opportunities for associates
Minimum Qualifications
Masters degree in Statistics / Mathematics / Management / Data Science from a premier institute and 10-12 years of experience in the field of data science.
Retail experience preferred
2+ years experience of leading a team.
Proficiency in coding languages, including Python and SQL
Understanding of cloud services like GCP, Azure",None,Not Disclosed,10 - 12 years
Senior Manager - Data Science,PwC3.74658 Reviews,Bangalore/Bengaluru,"Education : Advanced Degree in a quantitative discipline such as Computer Science, Engineering, Econometrics, Statistics or Information Sciences such as business analytics or informatics
Required Skills: Successful candidates will have demonstrated the following skills and characteristics:
Must have
Experience in managing, building and deploying ML models in cloud environments and ability to converse with client teams on cloud technologies.
Solid knowledge and experience of supervised, unsupervised machine learning algorithms such as classifiers. For e.g : classifiers, cluster analysis, dimension reduction, regression etc.
Good knowledge of statistics For e.g : statistical tests & distributions
Experience in Data analysis For e.g : data cleansing, standardization and data preparation for the machine learning use cases
Experience in machine learning frameworks and tools (For e.g. scikit-learn, mlr, caret, H2O, TensorFlow,, Pytorch, MLlib)
Advanced level programming in SQL and Python/Pyspark to guide teams
Expertise with visualization tools For e.g : Tableau, PowerBI, AWS QuickSight etc.
Nice to have:
Working knowledge of containerization ( e.g. AWS EKS, Kubernetes), Dockers and data pipeline orchestration (e.g. Airflow)
Experience with model explainability and interpretability techniques
Multi-task and manage multiple deadlines. Responsible for incorporating client/user feedback into the Product
Ability to think through complex user scenarios and design simple yet effective user interactions
Good Communication and presentation skills
Leadership :
Help Analytics Insights Practice make a bigger impact in Firm s overall positioning in the market
Work closely with Analytics Insights Practice leadership in leading the team and develop capabilities
Sales :
Work closely with Practice leadership and clients to build proposals, RFP and accounting for budgetary plans.
Project Delivery and Management :
Manage communication and project delivery between India and US teams
Manage client proposals, presentations, and act as subject matter expert on analytics discussions
Structure the approach and deliverables for multiple analytics engagements simultaneously Manage team members proactively
Help junior members develop the analytics path to align with overall project objective
And mentor juniors and team members on analytics and project delivery best practices
Help assess the impact of work, and conduct so-what analysis.
Develop storylines and make presentations
Firm Building & Intellectual Capital Development :
Contribute to research, white papers, blog, and other IC development activities
Subject Matter Expert :
Keep abreast of market developments, identify growth opportunities
Help Partners/Directors across the firm in selling analytics projects by acting as a subject matter expert on business development initiative",None,Not Disclosed,4 - 7 years
Senior Data Science Associate,CAMBRIDGE TECHNOLOGY ENTERPRISES (CTE)4.457 Reviews,"Hyderabad/Secunderabad, Bangalore/Bengaluru","From building entire infrastructures or platforms to solving complex IT challenges, Cambridge Technology helps businesses accelerate their digital transformation and become AI-first businesses. With over 20 years of expertise as a technology services company, we enable our customers to stay ahead of the curve by helping them figure out the perfect approach, solutions, and ecosystem for their business.Our experts help customers leverage the right AI, big data, cloud solutions, and intelligent platformsthat will help them become and stay relevant in a rapidly changing world.

Skills required: 
The ideal candidate will have a bachelors degree in data science, statistics, or a related discipline with 4-6 years of experience, or a master’s degree with 4-6 years of experience. A strong candidate will also possess many of the following characteristics
Strong problem-solving skills with an emphasis on achieving proof-of-concept
Knowledge of statistical techniques and concepts (regression, statistical tests, etc.)
Knowledge of machine learning and deep learning fundamentals
Experience with Python implementations to build ML and deep learning algorithms (e.g., pandas, numpy, sci-kit-learn, stats models, Keras, PyTorch, etc.)
Experience writing and debugging code in an IDE
Experience using managed web services (e.g., AWS, GCP, etc.)
Strong analytic and communications skills
Curiosity, flexibility, creativity, and a strong tolerance for ambiguity
Ability to learn new tools from documentation and internet resource.

Roles and responsibilities :
You will work on a small, core team alongside other engineers and business leaders throughout Cambridge with the following responsibilities:
Collaborate with client-facing teams to design and build operational AI solutions for client engagements
Identify relevant data sources for data wrangling and EDA
Identify model architectures to use for client business needs
Build full-stack data science solutions up to MVP that can be deployed into existing client business processes or scaled up based on clear documentation
Present findings to teammates and key stakeholders in a clear and repeatable manner

Experience :
4 -6Yrs",None,6-16 Lacs P.A.,4 - 8 years
Manager - Payments - Data Science,Bajaj Finserv Ltd.3.650 Reviews,Pune,"Business intelligence Collect and analyze data from various sources
Develop data models to identify patterns and trends
Design and develop reports to communicate insights to stakeholders
Collaborate with cross-functional teams to identify business problems and provide data-driven solutions
Continuously monitor and improve the performance of reports Stay up-to-date with the latest developments in data analytics
Deliver data insights and BI that are accurate and informative to enable the business to make data-driven content and learner experience decisions
Define Build & Track Hourly
Daily Monthly KPIs and work on the plan on how to improve the same
Manage ad-hoc data insights Trend analysis requests for Product & COE team
Conduct thorough quality assurance of the data feeds as well as the analytical capabilities
Demonstrate analytic curiosity and a desire to understand challenges to contribute to matrix team reviews and strategic discussions for insight discovery
Work with large complex data sets whilst solving challenging business problems independently and across teams
Requirements
Bachelors Degree in computer science, Math, Physics, Engineering, or related quantitative field with a minimum 2 years of experience as a Data Analyst in Fintech/Payment/Relevant Industry.
Minimum of 2-4 Years of experience Leading projects in Data Analytics/Business Intelligence Great communication skills (ability to convert data language to business language)
Experience with data visualization tools, such as Power BI, PlotLy, Matplotlib etc.
Strong bias for action & driving results in a high-performance environment.
Proficiency in using query languages such as SQL, Spark SQL is mandatory.",None,Not Disclosed,2 - 4 years
Data Science Specialist,Accenture4.135414 Reviews,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Manage, architect, and analyze big data to build data driven business insights and high impact data models to generate significant business value. Create models and processes to collect, distill and interpret data with a view to aid better, more informed decision making. Examine and explore data from multiple disparate sources with the goal of discovering insights which in turn can provide competitive advantage for our stakeholders.

The role involves but not limited to the following:
Create insights from predictive statistical modeling, mathematical knowledge, tools, and techniques to solve complex problems and deliver value
Implement new predictive and prescriptive solutions based upon business needs and requirements
Translate business issues into specific requirements to develop analytic solutions, and identify appropriate data to support the solution
Deliver large-scale programs that integrate processes with technology to help clients achieve high performance
Responsible for implementation of complete big data solutions including data acquisition, storage, transformation, and analysis
Manage a specific area of a project or entire project to solve analytics problems for clients
Individual contributor and/or oversees a small work effort
Work with minimal supervision
Key Skills
Must Have Knowledge of statistical techniques and machine learning algorithms
Artificial Intelligence
Hands-on experience of analysis tools like R, Python
Understanding of Text analysis- Natural Language processing (NLP)
Knowledge on Google Cloud Platform
Advanced Excel, PowerPoint skills
Advanced communication (written and oral) and strong interpersonal skills
Ability to work cross-culturally
Good to have Deep Learning
Human Resources experience
VBA and visualization tools like Qliksense, Qlikview will be an added advantage",None,Not Disclosed,2 - 4 years
Data Science Engineer - Machine Learning | Cigna,Talent5002.58 Reviews,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","The Data Scientist position is a hands-on role responsible for the end-to-end design, testing and development of models to assess and improve upon key initiatives related to Predictive Analytics and Insights. Your work will require a deep understanding of Defects and performance data , machine learning, deep learning, feature engineering, unsupervised modeling (ex. NLP, clustering), data exploration, and advanced analytic solutions to solve business problems. As a Data Scientist you will work closely with other team members and key stakeholders to provide expertise to our functional, integration, resiliency and reliability teams to identify defect, schedule, and effort and performance bottleneck predictions. You will research and prepare data for analysis, perform data exploration, apply machine learning and statistical techniques to draw conclusions and build innovative analytic solutions to improve operational effectiveness and efficiency. The ideal candidate for this role will have strong coding skills (preferably in Python), a passion for creating technology to improve our shared services efficiencies, and an attitude of creativity and continual learning.
Job Description:
Minimum experience: 8 years
Strong knowledge in Data Science or Machine Learning and should be able to develop models for prediction
Experience in designing model and derive prediction. 
Need to provide solution for AI/ML requirements. 
Need to develop python services to integrate with Automation framework. 
Take complete accountability on the predictive analytics and python service of automation platform.
Creating and maintaining micro services and integrating with frontend applications.
Experience with message queues preferably Rabbit MQ
8+ years' of hands-on, industry experience in machine learning algorithms and statistical modeling techniques such as clustering, classification, regression, decision trees, neural nets, ensemble modeling and text mining techniques such as sentiment analysis, topic modeling and entity extraction
Multi-year experience with Python and SQL:  Proficiency in performing statistical analysis in SAS, R, or Python, data science libraries such as Scikit-learn, Pandas, Numpy, Tensorflow, and Keras
Use relevant technology/software to wrangle data, perform analytics, and visualize for consumption
Degree in Data Science, Computer Science, Statistics, Mathematics, Computational Linguistics or related field 
Ability to establish and maintain strong working relationships across the organization
Excellent communication skills
Healthcare experience preferred
Demonstrated experience in challenging problems and driving outstanding results
Proven ability to work collaboratively in complex matrix organizations and multiple teams
Experience blending creativity, problem-solving, and business acumen
Responsibilities
Work individually and/or with team members to create models using ML/AI to predict risk and identify actionable insights
Extract and analyze large healthcare claims using SQL, R, Python, Teradata, Hadoop etc.
Perform complex data research and analysis to support business operations including: creating data mining architectures/models/protocols, statistical reporting, NLP, and data analysis methodologies to identify trends in large data sets
Deliver well documented, clean, reusable, and scalable code
Interview stakeholders in order to understand pain points
Ensure analytic approach and results are clearly understood by business partners
Provide expert content/professional leadership on complex Business Analytics assignments/projects
Analyze results and present analytics in a consumable method using overview, major takeaways, major questions, and next steps
Clearly present findings to leadership and be able to articulate and influence the business case for change
Understand how analytics affect the broader business and bridge the gap between data science and stakeholders
Maintain analytics skillset through understanding new technologies, modeling techniques, and the ability to execute and apply to our work
Primary Skills:
Machine Learning, Deep Learning, service virtualization, designing model and derive prediction, Python Services, Micro services, message queues preferably Rabbit MQ
Secondary Skills:
Healthcare & Agile experience",None,Not Disclosed,8 - 10 years
Data Science Manager,World Wide Technology4.018 Reviews,Bangalore/Bengaluru,"Education
Preferably a Ph.D. but also open to master’s or bachelor’s degree in a quantitative discipline (e.g., statistics, computer science, economics, mathematics, physics, electrical engineering, industrial engineering, or other STEM fields)
Work Experience
10+ years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist/ data engineer). Ph.D. Research and post-doctoral experience also counts.
Specialized Knowledge, Skills, and Abilities
We don't need an exceptional IQ of 160. All we need is curiosity, humility, and openness to learn. In other words, we just need a Beginner's Mind, even if you have decades of professional experience.
Analysis
Experience with writing SQL queries, performing basic conversion and transformations (e.g., formatting date string), and obtaining statistical summaries by using windowing functions.
Experience with usage of R/RStudio, Python, Jupyter Notebook
Experience with version control tool like Git
Strong experience with Excel and PowerPoint to present results
Ability to write scripts to automate ETL tasks
Experience in AI / Deep Learning for text/image/video analytics preferred
Experience in Cloud Computing and data streaming preferred
Problem Solving
Ability to run standard model algorithms in R and Python, to perform: classification/regression, clustering, basic text analytics, image recognition, etc. E.g., run a classification problem using random forest, and obtain the variable importance, produce performance metrics/KPIs; run a k-means clustering problem, produce a KPI to quantify the goodness of clusters
Demonstrated skills in selecting the right statistical tools given a data analysis problem
Experience with charting tools & knowledge of the proper charting tool to use, whether Excel or Tableau. For instance, when to use box-and-whiskers plot, when to use waterfall. Ability to zoom-in to smaller data sets in Tableau or display subcategories
Capable of running multiple scenarios and pick up the optimal solution
Capable of understanding advanced mathematical or physical explanations, to implement or execute the requested tasks. E.g., Fourier Transform, Power Spectral Density, Monte Carlo simulation, etc.
Actively participates and contributes in brain-storming session. Can work seamlessly with people from other disciplines: IT engineers, client SMEs, business consultants
Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations
Team & Business Skills
Consistently improves communication skills, both verbally and in written materials
Demonstrated creativity in problem solving
Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques.
Flexibility in task switching. For instance, when there are urgent requests or change of projects, can accommodate the changes without protesting
Mindful of iterations and quality check in a smaller team, before presenting results to larger audience
Raises critical issues when detected

Responsibilities:
Work closely with customers and WWT business, engineering, and technology teams
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Work on advanced analytics areas like deep learning and complex statistical data analysis
Interaction with clients including in-person meetings, towards making business recommendations with effective presentations of findings, including visual displays of quantitative information
Develop analysis, forecasting and optimization methods/models to provide the business solution to the clients
Research and develop internal capabilities to enhance the skill sets on latest data science developments, work towards producing innovative solutions to the existing challenges
Perform quality control of deliverables
Provide thought leadership in algorithmic and process innovations, and contribute to creativity in solving unconventional problems
Be a mentor to junior members of the team",None,Not Disclosed,10 - 15 years
HCL Hiring DATA Science Engineer 5-8 yrs @Chennai Location,HCLTech3.819621 Reviews,"Chennai, Bangalore/Bengaluru","Greetings from HCL Technologies !!!

We are hiring for the position of DATA SCIENCE ENGINEER @ Chennai & Bangalore Location for our Engineering R&D Group.



HCL Engineering and R&D Services division, ERS. We are the largest Indian Engineering service provider with 27000+ workforce and also the 4th largest ESP globally. We are also in phase of increasing the engineering base and are looking for DATA SCIENCE ENGINEER @ Chennai Location



Work Location: Chennai & Bangalore
Experience: 5-8 Years



Job Description/Skills Required:

Experience as Data science engineer
Experience in python
ETL experience
SQL experience
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
Strong project management and organizational skills.
Experience supporting and working with cross-functional teams in a dynamic environment.
We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools:
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.




Notice Period: 30 days & Less



Interested can share your resume to javeriya_kewal@hcl.com with below details:

Contact Number:
Current Company:
Total Experience :
Relevant Experience
Current CTC :
Expected CTC :
Notice Period :
Current Location:
Preferred Location:
Offers in Hand(if any):


Regards,

Javeriya Kewal
ERS - TAG Executive
HCL Technologies Ltd.
Engg. and R&D Services
Office address- Plot no:5,
sector 12, SEZ MIHAN, Nagpur
www.hcltech.com
www.hcl.com",None,Not Disclosed,5 - 8 years
Manager/Staff - Data Science,Chegg4.3962 Reviews,New Delhi,"Lead, manage, inspire, retain, and grow a team of Data scientists.
Be able to ideate, execute and deliver novel solutions for problems at hand
Develop and define key product and business insights to help guide decision-makers and executives in the digital services business.
Engage with leaders of engineering, and product, to drive the future strategy for the company - grounded in data science.
Develop and mentor a team of data scientists and foster their professional development.
Be aware of advancements in the NLP and ML communities and identify opportunities within Chegg for their potential adoption
Requirements:
Master s degree in a quantitative field (Sciences, Engineering, Operations Research, etc.), PhD is a bonus.
7+ years of demonstrated success in data science and analytics, 2+ years of managing analyst/data science teams.
Extensive machine learning experience in NLP and deep learning techniques and libraries in Python.
Analytical toolset including an advanced understanding of statistics (time series analysis, cluster analysis, multivariate analysis), discrete simulation, linear and nonlinear optimization.
Fluent in writing SQL or NOSQL queries for data manipulation
Strong understanding of statistics and underlying machine learning mathematics
Must have experience with entire model lifecycle(including model deployment and monitoring)
Hands on experience working on cloud platforms like AWS, GCP, Azure etc.
Self-motivated; independent, organized and proactive; highly responsive, flexible, and adaptable when working across multiple business units and product teams.
Be able to create, evangelize and drive adoption of best ML practices",None,Not Disclosed,2 - 8 years
Data Science Trainer,Amsi Technologies,Hiring office located in Bangalore/Bengaluru,"Design and develop an advanced Data Science training program including manuals, presentations, and assessments
Deliver training programs to participants
Design and make the trainees develop mini or major real-time projects for practical exposure

Required Candidate profile
3+ years of experience in training
To teach Python, R Programming, Machine learning, SQL, Power BI, Deep Learning, NLP, Computer Vision, and Reinforcement Learning
Nice to have exposure to AI",None,Not Disclosed,2 - 5 years
"Data Science Manager - Deep Learning, Machine Learning",Zscaler Softech4.0155 Reviews,Bangalore/Bengaluru,"- A degree in Machine Learning, Computer Science, or Electrical Engineering from a reputable school (Ph.D. degree preferred but not required)
- Passion for leveraging ML/AI to solve real-world business problems (better security and better business results)
- 12+ years of industry experience in one or more machine/deep learning frameworks
- 12+ years of industry experience with Python and SQL
- Excellent interpersonal, technical, and communication skills
- Good business sense
- Ability to learn, evaluate, and adopt new technologies fast
- Ability to lead and execute projects from start to finish
- Solid computer science foundation
Desirable Skill Sets:
- 12+ years professional experience
- Experience with various public cloud services (such as AWS, Google, Azure) and ML automation platforms (such as Kubeflow)
- Experience with various program languages such as Go
- Good understanding of operating systems and distributed systems
- Familiarity with networking and networking security",None,Not Disclosed,12 - 15 years
"Data Science Manager - Deep Learning, Machine Learning",Zscaler Softech4.0155 Reviews,Bangalore/Bengaluru,"As a Data Scientist, you will work in an award-winning team that does full-lifecycle full-stack Machine Learning product development, from feature engineering to model building and evaluation.
You might not be an expert in every stage of a Machine Learning project, but you should have interests and curiosity in various parts ranging from the data to the model s business impact.
Required Skills :
- A degree in Machine Learning, Computer Science, or Electrical Engineering from a reputable school (Ph.D. degree preferred but not required)
- Passion for leveraging ML/AI to solve real-world business problems (better security and better business results)
- 12+ years of industry experience in one or more machine/deep learning frameworks
- 12+ years of industry experience with Python and SQL
- Excellent interpersonal, technical, and communication skills
- Good business sense
- Ability to learn, evaluate, and adopt new technologies fast
- Ability to lead and execute projects from start to finish
- Solid computer science foundation
Desirable Skill Sets:
- 12+ years professional experience
- Experience with various public cloud services (such as AWS, Google, Azure) and ML automation platforms (such as Kubeflow)
- Experience with various program languages such as Go
- Good understanding of operating systems and distributed systems
- Familiarity with networking and networking security


 ",None,Not Disclosed,12 - 15 years
Data Science Analyst,Clinilaunch Research Institute Llp3.45 Reviews,Bangalore/Bengaluru( 1A Block Koramangala ),". Support and deliver data science engagements for India and South Asia clients.
. Execute on solution frameworks leveraging appropriate tools and techniques.
. Knowledge in Python codes.",None,Not Disclosed,0 - 1 years
