Title,Company,Location,Description,Date,Salary,Qualification
"Permanent Opportunity - Data Scientist(Snaplogic&Snowflake), Pan India",Deloitte,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Dear Aspirant,

Please find the below mentioned job details and if you are suitable to the below role please share me updated resume to gopid.ext@deloitte.com along with the below details.

Skill: Data Scientist : Digital Overall 10+ Years of experience, with minimum 3+ Years of relevant experience
JD:
ETL: Having minimum 2+ years of experience in SnapLogic
Database: Minimum 2+ years of experience in Snowflake
Should be an expert in Data validation methodologies with at least 3+ years of experience
Experience: 9 to 16 years
Job Locations: Pan India
Notice Period: Immediate to 30 days

Details Required
Name
Skill
Current Company Name
Total years of experience
Relevant Exp
Current Location
Preferred Location
Notice Period
Current CTC
Expected CTC

Regards
Gopi D
TA Team
Deloitte", 2 days ago,18-30 Lacs P.A.,9 - 14 years
Analystics & Modeling Specialist,Accenture,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","This role will be a part of Survey Solutions and Analytics team. The Analytics and Modeling Specialist will be working on developing advanced statistical models, machine learning methods and high-end solutions based on various datasets, helping Accenture improve various business outcome indicators.

KEY RESPONSIBILITIES (BULLETS)
Conceptualize, develop, test and implement various advanced Statistical models on business data.
Integrate the outcomes from various analytics techniques to provide insights beyond the obvious, which helps create value for Accenture and its clients.
Leverage a combination of multiple approaches for project execution, including internal assets, third-party and open source solutions to create unique methods of delivery.
Collaborate with stakeholders, subject matter experts, client teams and other functional teams globally to understand business problems and conceptualize, design and execute solutions using various data sources and advanced analytics approach.", 7 days ago,Not Disclosed,6 - 8 years
Data Scientist_NLP,Fractal Analytics,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru","As an NLP Senior Data Scientist, you will be building solutions that require analysing and transforming natural language data into useful features using NLP techniques. To succeed in this role, you should possess outstanding skills in statistical analysis, machine learning methods and text representation techniques


Role Details
Build Solutions that identify intent and other features from user comments, chat transcript and other unstructured text data.
Design NLP applications
Identify appropriate annotated datasets for Supervised Learning methods
Use effective text representations to transform natural language into useful features
Find and implement the right algorithms and tools for NLP tasks
Train the developed model and run evaluation experiments
Perform statistical analysis of results and refine models
Basic logical pseudo code writing
Team management and strong stakeholder management skills
Leadership skills to manage the span of NLP Data/Senior Data Scientist

QUALIFICATION:-
5.6-11 years into Deep Learning framewokrs like Keras, Pytorch, TensorFlow
Experience of design, building and deployment of ML/NLP Solutions
Proficient in Python SQL
Experience in NLP tools like Genism, spacy, Stanford NLP
Must have excellent project/program management skills and have experience managing multiple work streams and projects at one time
Have business acumen to manage revenues profitably and meet financial goals consistently. Able to quantify business value for clients and create win-win commercial propositions

PREFERRED QUALIFICATIONS:
Experience automating data within Tableau/Qlik/ggplot/Shiny to tell a story through interactive visualizations
Client relationship management: Build deep client relationship, network be a thought partner. Anticipate business problems deliver par excellence.
Sales Support account growth: Actively focus on opportunities to grow the client along with the senior engagement manager. Support the sales team as required for RFPs and regular sales pitches
Firm building: Contribute to firm growth by participating and conducting training sessions.
Coaching grooming: Coach groom the team on gaining knowledge skills on first principles of analytics techniques, problem-solving, project management, client relationship management.
EDUCATION:-
B.E/B.Tech/M.Tech in Computer Science or related technical degree OR Equivalent", 30+ days ago,Not Disclosed,5 - 11 years
Data Scientist,Infogain,"Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Roles and Responsibilities

Conceptualize, design and deliver high-quality solutions and insightful analysis on a variety of projects ranging in both complexity and scope
Conduct research and prototyping innovations, data and requirements acquisition, solution scoping and architecture, consulting clients or client-facing teams on advanced statistical/machine learning problems
Conduct analytic deep-dives of critical business issues that impact performance and translate the analyses into actionable recommendations
Collaborate with Client Team in defining clear business problems and corresponding metric definition, and communicate performance analysis, findings and recommendations
Lead and groom the pool of data scientists for solving complex problems using data science", 15 days ago,Not Disclosed,3 - 6 years
Machine Learning (AI) Architect,Persistent,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Showcase business acumen to translate requirements into ML problems
Lead ML teams and build, design and drive solutions to deliver
Guide teams in evaluating quality of ML models and, review and define the right performance metrics for models in accordance with the requirements of the core platform
Be responsible for building new and innovative solutions leveraging data science and artificial intelligence skills / technologies to solve non-trivial problems
Lead teams of data scientists and ML engineers, review the team s work and troubleshooting models implemented
Expertise You ll Bring
Qualifications Skills: B.E./ B.Tech. degree in Computer Science or equivalent from a reputed institute
An advanced degree in predictive analytics, machine learning, artificial intelligence; or a degree in programming and significant experience with text analytics / NLP
Experience:
5 years in designing high level architectures and solutions for large scale ML systems and / or building solutions for a product on AI / ML features / capabilities
Strong background in industry use cases built on deep learning and machine learning (unsupervised and supervised techniques) is a must
Deep learning frameworks such as TensorFlow, Keras, PyTorch
Time series analysis, anomaly detection, forecasting, predictive modeling, graph- based neural networks, Bayesian statistics are good to have
Knowledge:
Deep learning architectures like RNN, CNN, LSTM and Transformers
Strong command of Python or equivalent language for ML
Graph databases, analytics and graph neural networks
Data structures and ability to develop efficient solutions
Excellent verbal and written communication skills, especially the ability to share technical results and recommendations with both, technical and non-technical audience
Ability to perform high-level work both independently and collaboratively as a project member or leader on multiple projects", 30+ days ago,Not Disclosed,5 - 12 years
Data Scientist,Cognizant,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Job Description :-

Data science-  ML, Text analytics, Regression, Data classification and prediction, APIs
Softwares:- python , power BI, sql, tableau.
Platforms: H2O, Data robot
Analytics code Deployment using Azure, AWS, on prem methods etc.", 1 day ago,Not Disclosed,4 - 9 years
Data Scientist,Tata Nexarc,"Mumbai, Pune","Tata Business Hub is looking for a competent Data Scientist who will be responsible for driving data science projects across the organization Along with this, you will be expected to have a very good handle on different data streams and address the organizations data requirements.
Key requirements are as follows
Identify valuable data sources and automate collection processes Undertake preprocessing of structured and unstructured data Analyze large amounts of information to discover trends and patterns Build predictive models and machine-learning algorithms Present information using data visualization techniques Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams Functional / Technical Skills Proven experience as a Data Scientist Experience in data mining Understanding of machine-learning Knowledge of R, SQL and Python Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop) Analytical mind and business acumen Required abilities / competencies: Problem-solving aptitude Excellent communication and presentation skills BTech/BE in Computer Science, Engineering or relevant field
Experience Level -
4 years of experience in working in leading analytics companies or analytic teams of product companies/startups Location - NA", 30+ days ago,Not Disclosed,3 - 6 years
Director/Senior Director - Data Science,Axtria India,"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","Job Responsibilities :

Axtria is a global provider of cloud software and data analytics to the life sciences industry. We help life sciences companies transform the product commercialization journey to drive sales growth and improve healthcare outcomes for patients. We are seeking high energy, driven and innovative Data Science leader to join our Data Science Practice to develop new, specialized capabilities for Axtria, and to accelerate the company's growth supporting our clients' commercial & clinical strategies. The leader will have P&L responsibilities with ownership of sales, delivery & talent.

- Enhance the go-to-market strategy by designing new and relevant solution frameworks to accelerate our client's journeys for impacting patient outcomes. Pitch for these opportunities and craft winning proposals to grow the Data Science Practice.

- Develop and operationalize scalable processes to deliver on large & complex client engagements.

- Ensure profitable delivery and great customer experience - design the end to end solution, put together the right team and help them deliver as per established processes.

- Build an A team - hire the required skills sets and nurture them in a supporting environment to develop strong delivery leaders for the Data Science Practice.

- Train and mentor staff and establish best practices and ways of working to enhance data science capabilities at Axtria.

- Operationalize an eco-system for continuous learning & development.

- Write white papers, collaborate with academia and participate in relevant speaker opportunities to continuously upgrade learning & establish Axtria's thought leadership in this space. Research, develop, evaluate and optimize newly emerging algorithms and technologies for relevant use cases in pharma commercial & clinical space.

Qualifications & Experience :

- Post graduation or PhD in Computer Science is a must.

- 5+ years of experience in the data science space - preferably with the end to end automated ecosystem including, but not limited to, building data pipelines, developing & deploying scalable models, orchestration, scheduling, automation, ML operations.

- Ability to translate business questions into analytics techniques (regression classification, NLP, etc.) and interpret outcomes of analytical models into meaningful business insights and actionable recommendations.

- Expertise in data management, data modeling, data quality, dev ops, data migration & data structure integration.

- Expertise in advanced AIML algorithms & their applications, NLP, deep learning frameworks, computer vision.

- Ability to build scalable models using Python, R-Studio, R Shiny, PySpark, Keras, Tensorflow

- Relevant Mastery in Feature Engineering, Feature Selection and Model Validation on Big Data

- Experience in delivering data science projects leveraging cloud infrastructure. Familiarity with cloud technology such as AWS Azure and knowledge of AWS tools such as S3, EMR, EC2, Redshift, Glue; viz tools like Tableau and Power BI.

- Build & train neural network architectures such as CNN, RNN, LSTMs, Transformers.

- Applications and Digital Automation Solutions, Low Code No Code and Automation Platforms, designing API's and exposure to DevOps, ReactAngular, containers, building visualization layer.

- Experience with Agile framework.

- Experience of leading a data science team.

- Knowledge of self-service analytics platforms such as Dataiku KNIME Alteryx will be an added advantage. MS Excel knowledge is mandatory.

- Patents in Data science and ML areas is a plus. Familiarity with Life Sciences is a plus", 1 day ago,Not Disclosed,10 - 15 years
Manager/Senior Manager - Data Science,Axtria India,"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","Axtria is a global provider of cloud software and data analytics to the life sciences industry. We help life sciences companies transform the product commercialization journey to drive sales growth and improve healthcare outcomes for patients. We are seeking high energy, driven and innovative Data Scientists to join our Data Science Practice to develop new, specialized capabilities for Axtria, and to accelerate the company's growth supporting our clients' commercial & clinical strategies.

- Craft winning proposals to grow the Data Science Practice.

- Develop and operationalize scalable processes to deliver on large & complex client engagements.

- Ensure profitable delivery and great customer experience - design the end to end solution, put together the right team and deliver as per established processes.

- Build an A team - hire the required skills sets and nurture them in a supporting environment to develop strong delivery teams for the Data Science Practice.

- Train and mentor staff and establish best practices and ways of working to enhance data science capabilities at Axtria. Operationalize an eco-system for continuous learning & development.

- Write white papers, collaborate with academia and participate in relevant forums to continuously upgrade self knowledge & establish Axtria's thought leadership in this space. Research, develop, evaluate, and optimize newly emerging algorithms and technologies for relevant use cases in pharma commercial & clinical space.

Qualifications & Experience :

- Post graduation or PhD in Computer Science is a must.

- 5+ years of experience in the data science space - preferably with the end to end automated ecosystem including, but not limited to, building data pipelines, developing & deploying scalable models, orchestration, scheduling, automation, ML operations.

- Ability to translate business questions into analytics techniques (regression classification, NLP, etc.) and interpret outcomes of analytical models into meaningful business insights and actionable recommendations.

- Expertise in data management, data modeling, data quality, dev ops, data migration & data structure integration.

- Expertise in advanced AIML algorithms & their applications, NLP, deep learning frameworks, computer vision. Ability to build scalable models using Python, R-Studio, R Shiny, PySpark, Keras, Tensorflow

- Relevant Mastery in Feature Engineering, Feature Selection and Model Validation on Big Data

- Experience in delivering data science projects leveraging cloud infrastructure. Familiarity with cloud technology such as AWS Azure and knowledge of AWS tools such as S3, EMR, EC2, Redshift, Glue; viz tools like Tableau and Power BI.

- Build & train neural network architectures such as CNN, RNN, LSTMs, Transformers.

- Applications and Digital Automation Solutions, Low Code No Code and Automation Platforms, designing API's and exposure to DevOps, ReactAngular, containers, building visualization layer.

- Knowledge of self-service analytics platforms such as Dataiku KNIME Alteryx will be an added advantage. MS Excel knowledge is mandatory. Familiarity with Life Sciences is a plus", 1 day ago,Not Disclosed,8 - 12 years
Data Science,Lericon Infomatics Pvt.ltd,"Mumbai, Delhi / NCR, Bangalore/Bengaluru, Mumbai/ Delhi/ Bengaluru","• * Candidates working in the Corporate Sector with 3+ years of experience.

* Person must have strong knowledge in python, power bi, hadoop, hive, Big data, SQL, pysql, Tableau,

*Certification in training will be an added advantage

*Prior experience in technical training role

*Excellent English communication skills both written and verbal

*Flexible to work in Office

*Critical thinking, logical analysis and ability to work independently, to prioritize and take initiative
* Python, PySpark, SQL, Big Data – Hadoop (Hive/Impala), Model Development

• Some exposure to analytics delivery experience with use cases from Banking and Financial Services, Risk domain is preferred.

• Build ability to research and make decisions based on the day-to-day and complex customer problems required

• Handling large data sets and use of Python/PySpark/SQL/Hive/Impala for data analysis

• Exposure to Tableau & other BI tools", 4 days ago,Not Disclosed,2 - 4 years
