Title,Company,Location,Description,Date,Salary,Qualification
Full Stack Developer,IBM,Bangalore/Bengaluru,"At IBM, work is more than a job - it s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world s most challenging problems? If so, lets talk.

Your Role and Responsibilities
As a Full Stack Developer, you ll be using the latest tools and technologies available to deliver state-of-the-art software and web applications. You ll have an opportunity to drive the choice of technologies used as we transform our applications and experiment with the best new tools for the job based on upcoming industry trends. You ll be responsible for ensuring that components are expertly architected, tested, debugged, verified, and delivered into various contexts across the IBM Enterprise, creating a productive environment for IBMers and our Business Partners. The ideal candidate would have experience in Java, MicroServices, API Architecture and/or TypeScript, as we need more great skills in these areas to enrich us.
Our team owns IBM global software selling platforms, used by all of IBM software sales, business partners, and IBM software partners.
As a Full Stack Application Developer, you will:
Design, develop and/or re-engineer complex application components, and integrate software packages, programs and reusable objects residing on multiple platforms
Build applications for IBMers around the world, demonstrating agile and dynamic software support capabilities
Be responsible for maintenance and improvement of critical IBM internal applications
Perform application development based on Agile methodologies & participate in requirements / user story analysis, design and execution
Conduct appropriate unit and module testing; detect, report, investigate and fix defects in the application (production support)
Continually focus on improving the application
Work effectively in collaboration with other team members, partners and other support functions when required
Required Technical and Professional Expertise
Experience with back-end Java development
Experience of Microservices such as Spring Boot, Spring Cloud, NoSQL. etc
Meaningful development experience in modern frontend JavaScript frameworks, such as Angular, React, Vue.js, TypeScript or equivalent
Experience building restful APIs and Web services in NodeJS, and similar technologies.
Experience of modern testing frameworks (like Mockito, Jest, Mocha. etc) for both frontend and backend testing
Understanding of/experience with Object Oriented Programming
Solid knowledge on Agile methodology and practices, such as SCRUM, Extreme Programming (XP), Test Driven Development (TDD), etc
Experience working with relational databases and/or NoSQL databases
Experience with cloud-hosting solutions and CI/CD pipeline tools such as Jenkins, Travis, etc.
Understanding of/experience with Cloud or a similar service e.g. AWS, IBM cloud etc.
Comfortable multi-tasking and working as part of a global team, as well as working independently and taking ownership.
Preferred Technical and Professional Expertise
Experience in enterprise transformation of monolithic application architectures to microservices
Experience with Design thinking methods to understand personas and develop great user design
Demonstrated ability to operate within short release cycles
Experience using modern collaboration tools in a highly-responsive environment
Great planning and organisational skills, good time management, with the ability to manage and prioritise own workload and to deal with urgent deadlines and changes to requirements
Close teamworking and collaboration across both global and local team environments
The ability to communicate across organisational boundaries and manage stakeholders
A passion for creative solutions to real user needs and business problems
Driven to achieve high levels of customer satisfaction, addressing the underlying problem and questioning any assumptions
Logical approach to problem solving
Meticulous attention to detail
Highly motivated and productive, an entrepreneurial self-starter
Demonstrable experience coaching junior members of your teams
Excellent written and verbal communication skills", 1 day ago,Not Disclosed,2 - 6 years
Full stack developer,IBM,Kochi/Cochin,"This position will be located (Kochi) and will be a Hybrid working environment. Hybrid working is a combination of in-person collaboration in the office and remote working.The Hybrid work combination will consist of 3 days in the office and two days remote.

Your Role and Responsibilities
Full stack web developer with skills in both front-end technologies and frameworks as well as backend technologies. Ability to grow expertise in Containers, Operator, Cloud technologies, and Test automation framework.
Required Technical and Professional Expertise
Front-end: Javascript, HTML, CSS, ReactJS, NodeJS,
Backend: Python, Java, GraphQL
Preferred Technical and Professional Expertise
Test Automation: Selenium, Robot
CI/CD frameworks: Jenkins, Ansible", 1 day ago,Not Disclosed,2 - 6 years
Full stack Developer,Prithvi Technologies,"Noida, Bangalore/Bengaluru","Experience: 5-10 years of full-stack software engineering experience with knowledge of all phases of SDLC preferably following Agile best practices
Native Cloud knowledge and hands on experience from a platform perspective (SaaS/PaaS/IaaS)
AWS and/or Azure development and deployment experience including microservice/containerized and distributed system/service architecture on the cloud
Good knowledge of REST/SOAP/JSON web service API implementation in building secure, scalable software systems (UI, APIs, data persistence layers)
Understanding and working knowledge of using Infrastructure as Code (IaC) to represent service architecture and configuration
Passionate about fast feedback cycles, continuous integration, devops, and test automation
Full Stack knowledge including experience with front end frameworks such as React and NodeJS/Java/Typescript
Utilizing relational and NoSQL databases such as MySQL/PostgreSQL/Oracle/etc. and Mongo DB/DynamoDB/Cosmos DB/etc.
Bachelor’s degree or higher in a computer science or related field and/or relevant experience
Responsibilities
This role is a unique opportunity to contribute to the creation of a state-of-the-art biometrics application built ground up cloud native
Write code that meets production requirements and company standards
Diagnose, research, and remedy complex issues.
Following best practices around compliance, and security across multiple cloud environments
Work with the product owner on design/feature decisions as they arise.
Ready, willing, and able to pick up new technologies and contribute towards development tasks (design, code, test, CI/CD, deploy, etc).
Implementing core architectural elements, performing code reviews, and testing software.", 7 days ago,Not Disclosed,5 - 10 years
Full stack Developer,Capgemini,Bangalore/Bengaluru,"Experience in Net Core
Experience Advanced OOPS and C LINQ Lamda
Expressions Anonymous functions deferred loading SQL tuning
Profiling Design Patterns Jquery prototyping Web API
Experience of Object Oriented Analysis Design and Programming along with associated concepts
Hands on experience working on Azure based application
Ability to demonstrate integration experience through CI CD
Should have experience in executing at least 1 cloud projects
Certification in Azure mandatory
Experience of working in an Agile team and scrum
Good verbal and interpersonal skills
Primary Skills
Net Core
OOPS and C LINQ Lamda
Azure based application
Secondary Skills
Design Patterns Jquery prototyping Web API
SQL tuning", 3 days ago,Not Disclosed,3 - 7 years
Full stack developer,Nexplace Info,Bangalore/Bengaluru,"Client:  JRD Systems
Linkedin: 

https://www.linkedin.com/company/jrd-systems/

Job Description:- 
Role :  Fullstack Developer
Location : Bangalore    

About Company :

JRD Systems specializes in providing the top talent in the IT Industry to partner with organizations when their internal teams are simply not enough. We have IT professionals that work as remote team extensions, others that help our clients overcome daily technical issues or we can provide a team to execute custom applications development projects.
Website : http://www.jrdsi.comSpecialties : 
Custom Application Development, Consulting Services and IT Staffing, Automated Testing, BI Reporting and Analytics, NetSuite Alliance Partner, NetSuite Development, NetSuite Configuration, and NetSuite Assessment Roles and Responsibilities


Desired Candidate Profile


Perks and Benefits", 4 days ago,10-12 Lacs P.A.,6 - 10 years
Full Stack Developer 3 | FedEx,Talent500,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Job Requirements
Designs, codes, tests, and deploys software in all layers of the development life cycle.  
Provides the necessary documentation.  
Roles & Responsibilities
Design, develop and implement enterprise-scale solutions to support the organizations business strategy and goals.
Work closely with our business product owners on an Agile team to fully understand requirements, provide feedback, and request clarification as needed.
Work with other engineers on a collaborative Agile team to deliver code on an ongoing basis.
Review requirements and data models and translate them into responsible applications and architecture
Conduct design and code reviews with the extended team to ensure that code meets FedEx standards; Track and resolve software defects.
Works with databases, servers, networks, and various programming languages. 
Mentor those in less senior positions.
Skills/Knowledge Considered a Plus:
Agile Tools: Version 1, AGM, etc. 
Languages:  Java, J2EE, Angular and associated components 
Frameworks/Platforms: Renewal frameworks such as Spring boot, Pivotal Cloud Foundry, Continuous Integration frameworks such as JaCoCo /Emma, PMD, Jenkins/Hudson 
Build Frameworks:  Maven or Gradle 
SCM:  VSS/Source Anywhere, GIT, GitLab, etc 
Application Middleware:  WebLogic/Tomcat/JBoss 
Comm Protocols: SOAP, REST, JMS 
Databases:  Oracle/No SQL 
OS:  Unix/Linux, Shell Scripting 
Unit Testing Frameworks:  JUnit/TestNG, Easy Mock/Mockito 
Architecture & Design Frameworks/Tools: TOGAF, EA-SPARX, Case Complete 
Knowledge of SAFe /Agile 
Data Analytics and IoT 
Artificial Intelligence and Machine Learning algorithms   
Minimum Qualifications:
Bachelor's degree in computer science, engineering, information Systems, and/or equivalent formal training or work experience.  
6-9 years of equivalent work experience in information technology or engineering environment.  
A related advanced degree may offset the related experience requirement. 
Proactive and excellent communication, presentation, and facilitation skills 
High self-awareness and is coachable 
Strong verbal and written communication 
Positive Attitude 
Self-motivated 
Able to work as a team and individually.", 1 day ago,Not Disclosed,6 - 11 years
Cloud ALM - Full Stack Developer,SAP,Bangalore/Bengaluru,"In your role as a Full Stack Developer,
you will be responsible for the design, coding, testing, and quality assurance in a development team. You will assess and solve issues in new or existing code, and work with high attention to detail, reliability, and efficiency. You will collaborate closely with your team members to ensure success. In your day-to-day you will:
Focus on development activities by taking end-to-end ownership of features from design and development through to deployment.
Work closely with PO and Architect to understand the functional and Technical requirements - design and develop the service in close collaboration with other developers and others in a cross-functional team.
Apply Agile Software Engineering principles and DevOps model for continuous delivery working as part of the scrum team
What you bring
University Degree (B.E/B.Tech, M.Tech, M.E) in Computer Science or related engineering subject.
3-8years of professional experience in developing Java Spring Boot and Enterprise web-based applications
Outstanding written and verbal communication skills.
Strong technical skills with technologies like JAVA Spring boot, React ,JAVA Script ,UI5 and OData protocols to develop modern cutting edge software that performs and scales in the cloud environment
Sound knowledge in DevOps,Object Oriented Programming Principles, Design Patterns, and Software Architecture, especially in new-age Cloud solutions
Must be able to design and implement across all layers of the software (UI, Backend, Database)
Exposure to debugging, troubleshooting, and performance tuning for complex SQL queries
Capable of creating High-level and low-level design document
Knowledge of lean development infrastructure process including Git,Gerritt, Jenkins, etc.. and exposure to Continuous Delivery practices
Working knowledge of Scrum, Test Driven Development .", 3 days ago,Not Disclosed,3 - 8 years
Full Stack Developer,AgreeYa Solutions,Noida,"Developing front end website architecture.
Designing user interactions on web pages.
Developing back-end website applications.
Ensuring responsiveness of applications.
Working alongside graphic designers for web design features.
Seeing through a project from conception to finished product.
Designing and developing APIs.
Meeting both technical and consumer needs.", 11 days ago,Not Disclosed,4 - 8 years
Full Stack Developer,Assesshub,Mumbai,"you will be responsible for following:
Work with the Founders in building the vision, architecture, team, technology stack and
platform for the organization.
Adapt best practices, and overall strategy for technical operations – from coding, project
management, architecture, scaling and processes; rigidly adhere to the implementation
process and adjust as needed.
Develop and manage a multi-year technology roadmap, ensuring the deployment of
architectural solutions that are secure, scalable, comprehensive and maintainable.
Own complete front end and back end development of the responsive web platforms.
Have some prior experience and a good sense of humor
Self-confident with a go-getter attitude and a great team player
What we have to offer?
Exciting and challenging working environment with passionate and enthusiastic people
that builds an entrepreneurial mind-set
Be part of a small organization at a funding stage, work directly with founders, lead your
area of expertise, build kickass products and be a part of this exciting growth journey of
changing the world
Best in class salary
An open, collaborative, and fun work environment
Desired Skills and Experience
Experience building products for fast growing web or mobile products
Experience building web applications using MVC frameworks and API methodology
Ability to quickly learn different technologies and programming languages
Passionate about implementing a great user experience
Experience in back-end technologies like Node.Js and Python
Experience in front-end technologies like React.Js, HTML, CSS, JavaScript
Proficiency in Databases like Postgres SQL and MongoDB
Strong in : REST Web Services, JSON, JQuery, XML
Working knowledge in one of the editors : NetBeans or Eclipse or Visual Studio
CI technologies: BitBucket
Good to have: Kubernetes, Git, AWS, PM2 Analytics, etc", 4 days ago,Not Disclosed,0 - 2 years
Full Stack Developer,IBM,Kochi/Cochin,"Your Role and Responsibilities
IBM Watson Orchestrate is a web app and digital skills* platform that provides individuals with their own digital employee, digey, that helps with the busywork so individuals can focus on what matters most. Digey works across your existing apps and can take on more through a catalog of expanding skills to execute employees requests. No specialized training needed.
The Orchestrate team employs agile development practices with all team members actively engaged in the planning, development and testing and usability related to tasked owned and delivered by their Delivery Team . Preferred candidates will be enthusiastic, highly motivated team planers who have the software skills/experience and demonstrate a genuine desire and aptitude to perform the multi-disciplinary activities inherent in a software engineering role. The work performed will hav a high degree or technical content, is diverse and challenging yet always rewarding.
Successful candidates will be com forage working as part of a global team and have good communication (verbal and written) skills.
A working knowledge of C, Java and container technologies are desirable as is familiarity with one or more of the following : Linux, Windows, .NET AIX, J2EE, JSSE

Required Technical and Professional Expertise
C, Java and container technologies
Preferred Technical and Professional Expertise
Linux, Windows, .NET, AIX, J2EE, JSSE", 4 days ago,Not Disclosed,4 - 6 years
