Title,Company,Location,Description,Date,Salary,Qualification
Full Stack Java Developer,Tata Consultancy Services (TCS),"Hyderabad/ Secunderabad,Telangana, Pune,Maharashtra, Chennai,Tamil Nadu, Bangalore/ Bengaluru,Karnataka","Roles and Responsibilities
Position: Java Full Stack Developer
Experience: 4-7 years
Technical Skills: Java, J2EE, spring boot, Anguar JS /React JS & Javascript, HTML CSS, CI/CD, Unix/Linux systems experience.

Job Description:
Java & (React. js or Angular)
Understanding of Object-Oriented Design, Design Patterns, Service Oriented and Restful architecture.
Expert understanding of React JS or Angular, HTML5, CSS, JavaScript, and jQuery.
Knowledge of JSON.
Exceptional analytical and quantitative problem-solving skills
Strong understanding of Agile methodologies", 3 days ago,Not Disclosed,3 - 7 years
Java Full Stack Developer,Tata Consultancy Services (TCS),"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Roles and Responsibilities
Position: Java Full Stack Developer
Experience: 2 to 6 years
Location: Pan India

Desired Candidate Profile
Technical Skills: Java, J2EE, spring boot, Microservices, Hibernate, Angular JS & JavaScript, HTML CSS, CI/CD, Unix/Linux systems experience.
Job Description:
Core Technologies -Java 1.7 or Later, Servlet/JSP
Web Frameworks -Spring 4.x (Spring Core ,AOP ,IOC ,Spring MVC , Spring Batch )
Web Technologies -HTML 5, CSS, JavaScript ,Ajax ,J Query ,Kendo UI and Angular Framework

Perks and Benefits", 13 days ago,Not Disclosed,2 - 6 years
Full Stack Java Developer,Essenware Private Limted,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Developing front end website architecture
Designing user interactions on web pages
Developing back-end website applications
Creating servers and databases for functionality
Ensuring cross-platform optimization for mobile phones
Ensuring responsiveness of applications
Working alongside graphic designers for web design features
Seeing through a project from conception to finished product
Designing and developing APIs
Meeting both technical and consumer needs
Excellent problem-solving and communication skills
Attention to detail", 11 days ago,Not Disclosed,3 - 5 years
Java Full Stack Developer Role-Immediate Requirement- PAN India,HCLTech,"Noida, Vijayawada, Nagpur, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru","HCL Technologies is hiring for Java Full Stack Developer role. Thank you in advance for taking a look at the list of responsibilities and qualifications. We look forward to reviewing your resume.

Role: Java Full Stack
Minimum exp. Required: 7+ Years
Band: E2, E3
Designation: Tech Lead, SR Tech Lead, Project Lead.
Location: PAN India

Job Description:
Will be extremely hands on with design, development, unit test, build/deploy, operational support
Demonstrated experience in OOAD using established methodologies and notations such as UML and design patterns to create high and detailed level architecture and design.
Experience using standard frameworks like (not exhaustive and can change as new frameworks emerge and used) Java (Spring, SpringBatch, Maven, Jenkins, Junit, Log4J, Hibernate, MyBatis/iBatis, Code coverage tools etc.), JIRA, Database (SQL, Data Modeling), SOA etc.
Demonstrated experience with applications servers, development tools, build tools and configuration management practices.
Job Roles and responsibilities:
To be responsible for managing technology in projects and providing technical guidance / solutions for work completion.
To ensure process compliance in the assigned module, and participate in technical discussionsorreview as a technical consultant for feasibility study (technical alternatives, best packages, supporting architecture best practices, technical risks, breakdown into components, estimations).
To develop and guide the team members in enhancing their technical capabilities and increasing productivity
To prepare and submit status reports for minimizing exposure and risks on the project or closure of escalations.
To be responsible for providing technical guidance or solutions ;define, advocate, and implement best practices and coding standards for the team.


Kindly revert with the below details and your updated CV, if interested.
Contact number:
Email:
Total Experience:
Relevant Experience:
Current Location:
Preferred Location:
Current Company:
Notice Period:
Current CTC:
Expected CTC:
Counter Offer (If Any):

Recruiter/Spoc : divyanshi_gupta@hcl.com", 27 days ago,16-27.5 Lacs P.A.,7 - 11 years
Java Full Stack Developer,Atos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","At least 3-6 years of Work Experience in a similar role
Skills
Good knowledge of Java development
Good working knowledge of Spring MVC framework Springboot
Knowledge of Hibernate
Good exposure to JSP and servlets
Experience of developing in Angular - desirable but not mandatory
Good knowledge of Java Script, Jquery, HTML, CSS
Proficiency with database queries using SQL - knowledge of Hibernate an added advantage
Knowledge in one or many of the following Advanced Java areas:
Thread Concepts as well as Collection objects and classes, Socket Programming, event handling mechanisms, serialization
Core Java io or net packages
Stand alone real-time Java apps - these kind of apps would have used Advanced Java concepts
Experience in developing enterprise class applications / products
Willing to do hands-on development
Job Responsibilities
You will be responsible for developing Java based applications using Spring and Hibernate
This will involve new feature development for Atos AIsaac CyberSecurity product line
You will be responsible for the design, development and testing of the features
The role involves development of the Java side of the application - you will thus be involved in developing the business logic layer and the database layer", 30+ days ago,Not Disclosed,3 - 6 years
Java Full Stack Developer,Atos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Bachelor/ Master s Degree
At least 3-6 years of Work Experience in a similar role
Skills
Good knowledge of Java development
Good working knowledge of Spring MVC framework Springboot
Knowledge of Hibernate
Good exposure to JSP and servlets
Experience of developing in Angular - desirable but not mandatory
Good knowledge of Java Script, Jquery, HTML, CSS
Proficiency with database queries using SQL - knowledge of Hibernate an added advantage
Knowledge in one or many of the following Advanced Java areas:
Thread Concepts as well as Collection objects and classes, Socket Programming, event handling mechanisms, serialization
Core Java io or net packages
Stand alone real-time Java apps - these kind of apps would have used Advanced Java concepts
Experience in developing enterprise class applications / products
Willing to do hands-on development
Job Responsibilities
You will be responsible for developing Java based applications using Spring and Hibernate
This will involve new feature development for Atos AIsaac CyberSecurity product line
You will be responsible for the design, development and testing of the features
The role involves development of the Java side of the application - you will thus be involved in developing the business logic layer and the database layer", 30+ days ago,Not Disclosed,3 - 6 years
Java Full Stack Developer - TATA Consultancy Services,Tata Consultancy Services (TCS),"Pune, Bangalore/Bengaluru, Pan India","Greetings from TATA Consultancy Services!!

Currently Hiring For: Java Full Stack Developer

Location: Pan India
Experience: 3+ years

Required Skill Set: Java/J2EE, Oracle, SQL, Javascript, AngularJS, HTML5, CSS3, RestAPI, Hibernate, Spring, Spring Boot, node JS", 1 day ago,Not Disclosed,3 - 8 years
Java Full Stack Developer,Iris Software,"Noida,Uttar Pradesh, Pune,Maharashtra, Chennai,Tamil Nadu, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Shift Timing: 12:00 PM-9:00 PM IST

Mandatory Skills: Core Java, Multithreading OOPS, Fullstack Development, Angular 2+, Spring framework

Job description:
5 to 7 years of experience in software development with the following tools and technologies listed below
Platform Tools: JBuilder, Eclipse Languages: Java 1.8 and above, HTML, JSP, XML
Operating Systems: Windows, UNIX/Linux Experience with pure J2EE and core Java technologies is must
Experience with Spring Hibernate
Experience with Spring MVC and Spring Batch Experience in client/ server integration
Experience in HTML, Javascript, CSS, jquery with Ajax Experience with angular and KendoUI is a plus
Experience with building with AWS applications and services like S3, API gateway, dynamo DB etc.
Experience in web technologies such as XHTML, DHTML, CSS, JavaScript, Apache, AJAX, Hibernate and SOAP
Experience with XML, XSLT and XPATH Experience with XQuery, Java, Python and prototype/ script.aculo.us AJAX framework is a plus.
Experience with JBOSS Experience in developing automated test cases using the JUNIT Framework
Experience in writing unit tests for JavaScript like Jasmine or QUnit
Good interpersonal skills in order to interact with clients, technical staff, and third parties.
Experience in Agile Methodology Ability to prioritize and multi-task
Good communication skills Experience in relational databases like Oracle, and ability to write SQL queries and procedures
Experience developing applications using multiple programming/scripting languages.
Exposure to performance testing, tuning, monitoring and troubleshooting is a plus
Experience in test-driven development, good analytical and research skills are a must", 2 days ago,Not Disclosed,5 - 8 years
FULL STACK JAVA DEVELOPER,Godigi Infotech,Pune,"Candidate should have 0 to 2 years of experience with JAVA, Spring Boot
Should have experience in AngularJS/ React JS
Experiences such as MySQL, Postgress, and MongoDB
Skills:
Must have excellent verbal and communication skills
knowledge SDLC and Agile/ Scrum
Keyskills
Java
Angular JS
Spring Boot
MySql
SDLC
PostgreSQL
Reactjs
MongoDB
Agile/ Scrum
Desired candidate profile
Qualification: Any Graduate", 30+ days ago,Not Disclosed,0 - 2 years
Java Full Stack Developer,Oracle,"Pune,Maharashtra, Bangalore/ Bengaluru,Karnataka, Mumbai (All Areas)","Roles and Responsibilities

Become a go-to expert in the area of design, build, support of customer projects for the banking digital platform.
As an Intermediate consulting position, be able to operate independently with little assistance to provide quality work products to customers that comply with Oracle methodologies and practices.
Standard assignments are accomplished by exercising independent judgment, within defined policies and processes, to deliver functional and technical solutions on complex customer engagements

Desired Candidate Profile
FullStack software development role with 3-9 years of experience in the following:
Java JEE/Serverside development
Must have strong Technology experience in Java/J2EE ,JPA, Webservices(REST,SOAP) etc.
Developed applications using REST APIs with JSON payloads, Domain driven design or micro services architecture.
Experience in building highly secure APIs and web applications.
In depth understanding of Java Design patterns.
Experience working with popular frameworks like Spring etc.
Experience in building enterprise integrations using any Enterprise Service Bus (ESB) Platform


Javascript/User Experience ecosystem
Must have hands-on development experience in design and build of responsive UI using HTML5, CSS3 and JavaScript .
Expert skills in use of various JavaScript libraries like Angular JS, requireJS, nodeJS packages, jQuery and jQueryUI etc.
MVVM development experience using KnockoutJS or Angular.
Experience using JSON payloads and REST APIs.
Experience of Cordova for packaging and customizing hybrid mobile apps.
Experience in building workflows and complex UI component libraries.



Additional preferences
Experience in digital banking technology or fin-tech domain, experience on OBDX and OB API platforms is a definite plus.
Experience of working with Weblogic/Tomcat/JBoss application servers, Oracle database.
Good understanding of DevOps and automation concepts and experience of working in Agile projects.
Strong written and verbal communication skills with the ability to communicate with various project stakeholders.
Strong Interpersonal skills with ability to maintaining good working relationships with customer or with Internal stakeholders.
Good understanding of android and iOS native code to supplement the Cordova apps.
Ability to lead technical teams towards positive outcomes.", 6 days ago,Not Disclosed,3 - 8 years
