Title,Company,Location,Description,Date,Salary,Qualification
PHP Developer - Fresher,Smarthms Solutions,Trivandrum/Thiruvananthapuram,"We are looking for Fresher PHP developers who is dedicated to his craft, writes code that is proud of and can hit the ground running. You will be a part of a creative team that is responsible for all aspects of the ongoing application development from the initial specification, through to developing, bug fix and launching.

Job Responsibilities Include

1. Should be very good in PHP and OOPs concept. Knowledge in Symfony/Laravel/Yii framework
is an added advantage
2. HTML/ CSS/ JS (Should have basic proficiency).
3. Strong research, problem solving and analytical capabilities.
4. Database query, indexing, optimization, normalization and de- normalization concepts.
5. Application performance and scalability tuning experience
6. Thrive in highly collaborative, fluid, fast-paced open office environment
7. Strong communication skills needed to provide direction and to establish best practices within
the team
8. Understanding the fully synchronous behaviour
9. Basic understanding of front-end technologies,", 1 day ago,2.5-4.25 Lacs P.A.,0 - 1 years
PHP Developer - Fresher,Smarthms Solutions,Trivandrum/Thiruvananthapuram,"We are looking for Fresher PHP developers who is dedicated to his craft, writes code that is proud of and can hit the ground running. You will be a part of a creative team that is responsible for all aspects of the ongoing application development from the initial specification, through to developing, bug fix and launching.

Job Responsibilities Include

1. Should be very good in PHP and OOPs concept. Knowledge in Symfony/Laravel/Yii framework
is an added advantage
2. HTML/ CSS/ JS (Should have basic proficiency).
3. Strong research, problem solving and analytical capabilities.
4. Database query, indexing, optimization, normalization and de- normalization concepts.
5. Application performance and scalability tuning experience
6. Thrive in highly collaborative, fluid, fast-paced open office environment
7. Strong communication skills needed to provide direction and to establish best practices within
the team
8. Understanding the fully synchronous behaviour
9. Basic understanding of front-end technologies,", 1 day ago,2.5-4.25 Lacs P.A.,0 - 1 years
Php Developer,Aries Exim Company,Kolkata( Dalhousie ),"1. Highly Proficient in PHP with an overall experience of a minimum of 1+ years

2. Hands-on experience with PHP frameworks like Codeigniter and Cake PHP/Lavarel will be an added advantage

3. Hands-on experience with WordPress.

4. Should have knowledge of SQL and specifically MySQL.

5. Demonstrate knowledge of web technologies including HTML, CSS, JavaScript, jQuery Ajax, etc

6. Good communication skills and can work in a client-facing environment

7. Bachelor's degree (BE/B-Tech) in Computer Science or a related field will be an added advantage", 2 days ago,Not Disclosed,0 - 5 years
PHP Developer - Fresher,Smarthms Solutions,Trivandrum/Thiruvananthapuram,"We are looking for Fresher PHP developers who is dedicated to his craft, writes code that is proud of and can hit the ground running. You will be a part of a creative team that is responsible for all aspects of the ongoing application development from the initial specification, through to developing, bug fix and launching.

Job Responsibilities Include

1. Should be very good in PHP and OOPs concept. Knowledge in Symfony/Laravel/Yii framework
is an added advantage
2. HTML/ CSS/ JS (Should have basic proficiency).
3. Strong research, problem solving and analytical capabilities.
4. Database query, indexing, optimization, normalization and de- normalization concepts.
5. Application performance and scalability tuning experience
6. Thrive in highly collaborative, fluid, fast-paced open office environment
7. Strong communication skills needed to provide direction and to establish best practices within
the team
8. Understanding the fully synchronous behaviour
9. Basic understanding of front-end technologies,", 1 day ago,2.5-4.25 Lacs P.A.,0 - 1 years
Php Developer,Aries Exim Company,Kolkata( Dalhousie ),"1. Highly Proficient in PHP with an overall experience of a minimum of 1+ years

2. Hands-on experience with PHP frameworks like Codeigniter and Cake PHP/Lavarel will be an added advantage

3. Hands-on experience with WordPress.

4. Should have knowledge of SQL and specifically MySQL.

5. Demonstrate knowledge of web technologies including HTML, CSS, JavaScript, jQuery Ajax, etc

6. Good communication skills and can work in a client-facing environment

7. Bachelor's degree (BE/B-Tech) in Computer Science or a related field will be an added advantage", 2 days ago,Not Disclosed,0 - 5 years
PHP Developer,Smartowner Services,Bangalore/Bengaluru,"Processing requisition and other business forms, checking account balances, and approving purchases.
Advising other departments on best practices related to fiscal procedures.
Managing account records, issuing invoices, and handling payments.
Collaborating with internal departments to reconcile any accounting discrepancies.
Analyzing financial data and assisting with audits, reviews, and tax preparations.
Updating financial spreadsheets and reports with the latest available data.
Preparation of operating budgets, financial statements, and reports.
Reviewing existing financial policies and procedures to ensure regulatory compliance.
Providing assistance with payroll administration.
Keeping records and documenting financial processe", 2 days ago,Not Disclosed,10 - 20 years
PHP Developer - Fresher,Smarthms Solutions,Trivandrum/Thiruvananthapuram,"We are looking for Fresher PHP developers who is dedicated to his craft, writes code that is proud of and can hit the ground running. You will be a part of a creative team that is responsible for all aspects of the ongoing application development from the initial specification, through to developing, bug fix and launching.

Job Responsibilities Include

1. Should be very good in PHP and OOPs concept. Knowledge in Symfony/Laravel/Yii framework
is an added advantage
2. HTML/ CSS/ JS (Should have basic proficiency).
3. Strong research, problem solving and analytical capabilities.
4. Database query, indexing, optimization, normalization and de- normalization concepts.
5. Application performance and scalability tuning experience
6. Thrive in highly collaborative, fluid, fast-paced open office environment
7. Strong communication skills needed to provide direction and to establish best practices within
the team
8. Understanding the fully synchronous behaviour
9. Basic understanding of front-end technologies,", 1 day ago,2.5-4.25 Lacs P.A.,0 - 1 years
Php Developer,Aries Exim Company,Kolkata( Dalhousie ),"1. Highly Proficient in PHP with an overall experience of a minimum of 1+ years

2. Hands-on experience with PHP frameworks like Codeigniter and Cake PHP/Lavarel will be an added advantage

3. Hands-on experience with WordPress.

4. Should have knowledge of SQL and specifically MySQL.

5. Demonstrate knowledge of web technologies including HTML, CSS, JavaScript, jQuery Ajax, etc

6. Good communication skills and can work in a client-facing environment

7. Bachelor's degree (BE/B-Tech) in Computer Science or a related field will be an added advantage", 2 days ago,Not Disclosed,0 - 5 years
PHP Developer,Smartowner Services,Bangalore/Bengaluru,"Processing requisition and other business forms, checking account balances, and approving purchases.
Advising other departments on best practices related to fiscal procedures.
Managing account records, issuing invoices, and handling payments.
Collaborating with internal departments to reconcile any accounting discrepancies.
Analyzing financial data and assisting with audits, reviews, and tax preparations.
Updating financial spreadsheets and reports with the latest available data.
Preparation of operating budgets, financial statements, and reports.
Reviewing existing financial policies and procedures to ensure regulatory compliance.
Providing assistance with payroll administration.
Keeping records and documenting financial processe", 2 days ago,Not Disclosed,10 - 20 years
PHP Developer,Litost India Infotech,Noida,"Previous working experience as a PHP developer for a minimum of 3 years.
In-depth knowledge of object-oriented PHP and Laravel 5 PHP Framework
Hands-on experience with SQL schema design, SOLID principles, REST API design
Skills & Competencies :-
PHP
Web Technologies
PHP Unit
HTML
Web Application Development
Css
Education Requirement :-
UG: Any Graduate in Any Specialization, BCA in Computers, B.Tech/B.E. in Computers
PG: Any Postgraduate in Any Specialization, MCA in Computers, M.Tech in Computer
Experience Requirement :-
Previous working experience as a PHP developer for a minimum of 3 to 5 years.", 1 day ago,Not Disclosed,3 - 5 years
PHP Developer - Fresher,Smarthms Solutions,Trivandrum/Thiruvananthapuram,"We are looking for Fresher PHP developers who is dedicated to his craft, writes code that is proud of and can hit the ground running. You will be a part of a creative team that is responsible for all aspects of the ongoing application development from the initial specification, through to developing, bug fix and launching.

Job Responsibilities Include

1. Should be very good in PHP and OOPs concept. Knowledge in Symfony/Laravel/Yii framework
is an added advantage
2. HTML/ CSS/ JS (Should have basic proficiency).
3. Strong research, problem solving and analytical capabilities.
4. Database query, indexing, optimization, normalization and de- normalization concepts.
5. Application performance and scalability tuning experience
6. Thrive in highly collaborative, fluid, fast-paced open office environment
7. Strong communication skills needed to provide direction and to establish best practices within
the team
8. Understanding the fully synchronous behaviour
9. Basic understanding of front-end technologies,", 1 day ago,2.5-4.25 Lacs P.A.,0 - 1 years
