Title,Company,Location,Description,Date,Salary,Qualification
Web Developer,Coding Blades,"Gurgaon/ Gurugram,Haryana, Bangalore/Bengaluru, Delhi / NCR","Job description
We need Fresher for web developer and designer role on urgently basis

Job Description - Website designing, building, or maintaining. Experience in HTML, CSS, JavaScript. Should have knowledge of website designing or development.

Required Candidate profile
Proficient in HTML, CSS, JavaScript. Understanding of the latest Web applications & programming. Knowledge of website designing.
Eager to learn new technologies like - MERN or MEAN Stack.

Perks and Benefits
Work From Home Available hybrid Mode available", 5 days ago,3.5-6 Lacs P.A.,0 years
Web Developer,M K Management Services,Pune( Sector No-7 Bhosari ),"fresher
contact - Mahesh sir - 7350395082", 2 days ago,2.75-3 Lacs P.A.,0 years
Web Developer,Greet Labs,Bangalore/Bengaluru,"Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function.
Requirements
Degree/Master Degree or B.E/B.Tech/MCA in computer science or a related field
Proven working experience in web programming
Top-notch programming skills and in-depth knowledge of modern HTML/CSS
Familiarity with at least one of the following programming languages: PHP, ASP.NET, Javascript or Ruby on Rails
A solid understanding of how web applications work including security, session management, and best development practices
Adequate knowledge of relational database systems, Object Oriented Programming and web application development
Hands-on experience with network diagnostics, network analytics tools
Basic knowledge of Search Engine Optimisation process
Aggressive problem diagnosis and creative problem solving skills
Strong organisational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen
Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.
Responsibilities
Write well designed, testable, efficient code by using best software development practices
Create website layout/user interface by using standard HTML/CSS practices
Integrate data from various back-end services and databases
Gather and refine specifications and requirements based on technical needs
Create and maintain software documentation
Be responsible for maintaining, expanding, and scaling our site
Stay plugged into emerging technologies/industry trends and apply them into operations and activities
Cooperate with web designers to match visual design intent", 8 days ago,Not Disclosed,0 - 2 years
Web Developer J2EE (2-5 Exp),Mobisap Infotech,Pune,"Developing, deploying and maintaining Java/J2EE based web applications
Create solutions for the backend systems to support millions of users
Estimate the work efforts at varied levels and entail in design evaluation, determining the architectures, lay-out and style controls
Deploy the web applications on various types of production environment (Linux, Windows servers etc).
Work in coordination with frontend developers in designing architecture and implement designing strategy
Collaborate with people in other disciplines for the production and delivery of project deliverable.
Experience and Skills required
Must have 2-5 year of experience in developing web application using Java/J2EE technologies.
Must have experience in various frameworks such as Spring, Hibernate, Struts.
Strong knowledge and experience in javascript and jQuery.
Expert knowledge of SQL and database technologies.
Sound Knowledge of web deployment concepts, web services such as REST and SOAP APIs.
Possess experience in developing social and location aware applications, which are scalable.
Prior experience in any other frontend or backend technologies is an added advantage.", 3 days ago,Not Disclosed,4 - 5 years
Web developer,Corus Infotech,Kochi/Cochin,"  Conceptualize and create intuitive, engaging, and brand-consistent web experiences.

Continually improve and optimize user experience for sites.
Collaborate in concept development and design ideation cross-functionally to help define a creative strategy.

Will be responsible for architecting and building Android Applications (using Flutter and React Js.).
Required Skills:
Knowledge of User Experience/ Interface, Visual Design
Coding languages including HTML CSS
Frontend web developing skills (JavaScript)
Backend Web developing skills (Java, C# PHP)
Basic understanding of SEO
Knowledge of Android Development", 5 days ago,Not Disclosed,1 - 6 years
Web Developer,Saint Gobain,Chennai( Teynampet ),"Roles & Responsibilities:
analyze system requirements, designing new functionality and prioritize tasks.
Write clean, scalable code and ensure a required level of performance.
Test and Debug various applications
Review, debug and refactor code.
Deploy fully functional applications
Upgrade existing programs
Skills:
Solid knowledge in OOPS and OOD using .net
Solid experience in web development using ASP.NET MVC | ASP.NET Core | EF Core.
Proficient knowledge in MSSQL | Postgre SQL | Oracle |LINQ |Couch base
Having skills in designing and working with Restful Web APIs.
Having SQL skills is a big plus
Using Git as version control
Understanding of HTML, JS, and CSS
Client side framework jQuery | Typescript| Angular 4.*+ (Moderate)
Develop, perform unit testing
Prior experience of working in an agile environment
Good Communication skill", 4 days ago,Not Disclosed,3 - 8 years
GIS Web Developer - AngularJS/TypeScript,CARBYNETECH,Hyderabad/Secunderabad,"- Develop good user interfaces for GIS Web applications with the latest Front End Technologies.

- Working experience and knowledge of Agile Based development methodology like SCRUM.

- Writing extensive unit tests using automated TDD tasks

- System and Integration Testing of enhancements.

- Produce and deliver Training materials

- Establish and maintain good working relationships within organization, with its Clients and other stakeholders.

- Experience in the GIS industry (3+ years).

- GIS development experiences including ArcGIS Server, ArcGIS Portal, GeoServer (Desirable).

- Extensive coding experience in Angular, TypeScript, JavaScript, jQuery, HTML, CSS (3+ years).

- Experience in JavaScript build tools like grunt or gulp.

- Expert in modern JavaScript MVVM/MVC frameworks.

- Good understanding of AJAX and JavaScript Dom manipulation Techniques.

- Hand on and implements complex AngularJS applications, directives, controllers, services.

- Experience with RESTful services.

- Proven ability and experience in the use of geospatial services like Map Services, Feature Services, Geo Processing services and Geo Coding Services.

- Proven ability in technical writing with ability to develop and maintain user guides and training material.

- Demonstrated experience working independently and as a member of a team.", 1 day ago,Not Disclosed,3 - 5 years
GIS Web Developer - AngularJS/TypeScript,CARBYNETECH,Hyderabad/Secunderabad,"Job Description :

- Develop good user interfaces for GIS Web applications with the latest Front End Technologies.

- Working experience and knowledge of Agile Based development methodology like SCRUM.

- Writing extensive unit tests using automated TDD tasks

- System and Integration Testing of enhancements.

- Produce and deliver Training materials

- Establish and maintain good working relationships within organization, with its Clients and other stakeholders.

- Experience in the GIS industry (3+ years).

- GIS development experiences including ArcGIS Server, ArcGIS Portal, GeoServer (Desirable).

- Extensive coding experience in Angular, TypeScript, JavaScript, jQuery, HTML, CSS (3+ years).

- Experience in JavaScript build tools like grunt or gulp.

- Expert in modern JavaScript MVVM/ MVC frameworks.

- Good understanding of AJAX and JavaScript Dom manipulation Techniques.

- Hand on and implements complex AngularJS applications, directives, controllers, services.

- Experience with RESTful services.

- Proven ability and experience in the use of geospatial services like Map Services, Feature Services, Geo Processing services and Geo Coding Services.

- Proven ability in technical writing with ability to develop and maintain user guides and training material.

- Demonstrated experience working independently and as a member of a team.", 1 day ago,Not Disclosed,3 - 5 years
Web Developer,K.R. Mangalam University,New Delhi,"Design, develop, and maintain our website.
Perform regular updates and maintenance on the website to ensure it is functioning properly.
Ensure website design is optimized for desktop and mobile devices.
Monitor and resolve website performance issues.
Stay up-to-date with emerging web technologies and design trends.
Manage and update website content as needed.
Requirements:
Bachelors degree in Computer Science, Web Development, or related field.
3+ years of experience in web development and design.
Proficient in WordPress and front-end technologies including CSS3, JavaScript, HTML5, and jQuery.
Experience working with debugging tools such as Chrome Inspector and Firebug.
Strong understanding of web design principles and best practices.
Knowledge of website optimization for desktop and mobile devices.
Excellent project management and organizational skills.
Strong communication and interpersonal skills.", 1 day ago,Not Disclosed,3 - 8 years
Web Developer,EruditeWorks Private Limited,Navsari,"Experience in developing and maintaining dynamic web applications.
Working knowledge of front-end technologies like   HTML5, CSS3, and JavaScript/jQuery.
In-depth understanding of the entire web development process (design, development, and deployment)
Excellent relational database skills with   MySQL .
Should have exposure of any Open-Source E-commerce CMS:   WordPress, Shopify and Magento   will be an advantage.
Writing a clean and well-structured code with proper abstraction and re-usability.
Good understanding of front-end optimization techniques, cross-browser compatibility and responsive web design.
Good knowledge in API, Web services, Different payment gateways etc.
Must be a self-motivated, smart working person with good attitude to work in teams and individually", 2 days ago,Not Disclosed,1 - 5 years
